dependent,n_obs,r_squared,adj_r_squared,f_stat,f_pvalue,durbin_watson,max_vif,multicollinearity_flag_vif_gt_10,ramsey_reset_stat,ramsey_reset_pvalue,reset_misspecified_5pct,breusch_godfrey_lm_stat,breusch_godfrey_pvalue,autocorrelation_flag_5pct,breusch_pagan_lm_stat,breusch_pagan_pvalue,white_lm_stat,white_pvalue,heteroskedasticity_flag_5pct,jarque_bera_stat,jarque_bera_pvalue,non_normal_residuals_flag_5pct
co2,2284,0.9889662423968384,0.9889614072708072,204537.8416236841,0.0,0.15711219203119328,0.9999999999999998,False,282.8565440427119,1.8529286636353928e-110,True,2076.573039801707,0.0,True,0.22150386375185782,0.6378964310315021,118.4395055774979,1.9106808205526128e-26,True,24.146307783646627,5.7107859926128135e-06,True
proxy,2284,0.9889662423968384,0.9889614072708072,204537.84162368407,0.0,0.15739747911854673,0.9999999999999998,False,347.57087068126566,1.766004686996381e-132,True,2074.8614672607277,0.0,True,4.40934886091047,0.035742481677383885,247.38248440317267,1.9123881858456884e-54,True,24.22634912225573,5.486749462493729e-06,True
